,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,police,police
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,9,frère,brother
10,10,laisser,let
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,laisse,leash
15,15,eux,them
16,16,ville,city
17,17,chaque,each
18,18,parlé,speak
19,19,arrivé,come
20,20,devrait,should
21,21,bébé,baby
22,22,longtemps,long time
23,23,heures,hours
24,24,vont,will
25,25,pendant,while
26,26,revoir,meet again
27,27,aucune,any
28,30,compris,understood
29,31,savais,knew
30,32,étaient,were
31,33,attention,Warning
32,34,voici,here is
33,36,affaire,case
34,37,donner,give
35,38,type,type
36,39,leurs,their
37,40,donné,given
38,41,train,train
39,42,corps,body
40,43,endroit,place
41,44,yeux,eyes
42,45,façon,way
43,46,écoute,listen
44,47,dont,whose
45,48,trouve,find
46,50,perdu,lost
47,51,main,hand
48,52,première,first
49,53,côté,side
50,54,pouvoir,power
51,55,vieux,old
52,56,sois,be
53,57,tiens,here
54,58,matin,morning
55,59,tellement,so much
56,60,enfant,child
57,61,point,point
58,62,venu,came
59,63,suite,after
60,64,pardon,sorry
61,65,venez,come
62,66,devant,in front of
63,67,vers,towards
64,68,minutes,minutes
65,69,demandé,request
66,71,mis,placed
67,72,belle,beautiful
68,73,droit,law
69,74,aimerais,would like to
70,75,aujourd'hui,today
71,76,mari,husband
72,77,cause,cause
73,78,enfin,finally
74,79,espère,hope
75,80,eau,water
76,82,parti,left
77,83,nouvelle,new
78,84,boulot,job
79,85,arrêter,Stop
80,86,dirait,would say
81,87,terre,Earth
82,88,compte,account
83,89,donne,given
84,90,fin,end
85,91,croire,believe
86,92,chérie,sweetheart
87,93,gros,large
88,94,plutôt,rather
89,95,aura,will have
90,96,filles,girls
91,97,jouer,to play
92,98,bureau,office
